date,calories,gsr,heart-rate,skin-temp,steps
2014-11-25 05:40Z,0.1,,,,0
2014-11-25 05:41Z,1.1,,,,0
2014-11-25 05:42Z,1.2,,,,0
2014-11-25 05:43Z,1.1,,,,0
2014-11-25 05:44Z,1.1,,,,0
2014-11-25 05:45Z,1,,,,0
2014-11-25 05:46Z,1.4,,64,,0
2014-11-25 05:47Z,1.3,4.56605e-05,64,77.9,6
2014-11-25 05:48Z,1.4,4.56605e-05,63,78.8,0
2014-11-25 05:49Z,1.1,4.49086e-05,65,78.8,0
2014-11-25 05:50Z,1.2,4.54085e-05,66,79.7,0
2014-11-25 05:51Z,1.3,4.49086e-05,64,79.7,0
2014-11-25 05:52Z,1.1,4.49086e-05,64,79.7,0
2014-11-25 05:53Z,1.2,4.49086e-05,64,79.7,0
2014-11-25 05:54Z,1.1,,,,0
2014-11-25 05:55Z,1.1,,,,0
2014-11-25 05:56Z,1.1,,,,0
2014-11-25 05:57Z,1.2,,,,0
2014-11-25 05:58Z,1.1,,,,0
2014-11-25 05:59Z,1.1,,,,0
2014-11-25 06:00Z,1.1,,,,0
2014-11-25 06:01Z,1.1,,,,0
2014-11-25 06:02Z,1.1,,,,0
2014-11-25 06:03Z,1.1,,,,0
2014-11-25 06:04Z,1.1,,,,0
2014-11-25 06:05Z,1.2,,,,0
2014-11-25 06:06Z,1.1,,,,0
2014-11-25 06:07Z,1.1,,,,0
2014-11-25 06:08Z,1.1,,,,0
2014-11-25 06:09Z,1.1,,,,0
2014-11-25 06:10Z,1.1,,,,0
2014-11-25 06:11Z,1.1,,,,0
2014-11-25 06:12Z,1.1,,,,0
2014-11-25 06:13Z,1.6,,,80.6,0
2014-11-25 06:14Z,1.2,4.54085e-05,,82.4,0
2014-11-25 06:15Z,1.1,,,,0
2014-11-25 06:16Z,1.1,,,,0
2014-11-25 06:17Z,1.1,,,,0
2014-11-25 06:18Z,1.1,,,,0
2014-11-25 06:19Z,1.2,,,,0
2014-11-25 06:20Z,1.1,,,,0
2014-11-25 06:21Z,1.1,,,,0
2014-11-25 06:22Z,1.1,,,,0
2014-11-25 06:23Z,1.1,,,,0
2014-11-25 06:24Z,1.1,,,,0
2014-11-25 06:25Z,1.1,,,,0
2014-11-25 06:26Z,1.2,,,,0
2014-11-25 06:27Z,1.2,,,,0
2014-11-25 06:28Z,1.1,,,,0
2014-11-25 06:29Z,1.1,,,,0
2014-11-25 06:30Z,1.1,,,,0
