date,calories,gsr,heart-rate,skin-temp,steps
2014-11-25 05:40Z,0.1,,,,0
2014-11-25 05:41Z,1.1,,,,0
2014-11-25 05:42Z,1.2,,,,0
2014-11-25 05:43Z,1.1,,,,0
2014-11-25 05:44Z,1.1,,,,0
2014-11-25 05:45Z,1,,,,0
2014-11-25 05:46Z,1.4,,64,,0
2014-11-25 05:47Z,1.3,4.56605e-05,64,77.9,6
2014-11-25 05:48Z,1.4,4.56605e-05,63,78.8,0
2014-11-25 05:49Z,1.1,4.49086e-05,65,78.8,0
2014-11-25 05:50Z,1.2,4.54085e-05,66,79.7,0
2014-11-25 05:51Z,1.3,4.49086e-05,64,79.7,0
2014-11-25 05:52Z,1.1,4.49086e-05,64,79.7,0
2014-11-25 05:53Z,1.2,4.49086e-05,64,79.7,0
